Time_min,BG_mg_dL,IOB_U,CHO_g,INS_U_min
183.0,176.77138640124187,2.0768555489033047,0,0.020833333333333332
184.0,176.6606081551875,2.0728638071086958,0,0.020833333333333332
185.0,176.55574550983528,2.069003850858953,0,0.020833333333333332
186.0,176.45591187949955,2.0652720721037023,0,0.020833333333333332
187.0,176.3602584403824,2.0616649589998337,0,0.020833333333333332
188.0,176.26798138433026,2.0581790924021437,0,0.020833333333333332
189.0,176.17832744816323,2.0548111426572455,0,0.020833333333333332
190.0,176.0905978381393,2.051557866653725,0,0.020833333333333332
191.0,176.00415070041134,2.0484161050900425,0,0.020833333333333332
192.0,175.91840230686705,2.0453827799284703,0,0.020833333333333332
193.0,175.83282713361987,2.042454892008904,0,0.020833333333333332
194.0,175.74695700882668,2.0396295188008797,0,0.020833333333333332
195.0,175.66037949953312,2.036903812275829,0,0.020833333333333332
196.0,175.5727356957574,2.034274996884647,0,0.020833333333333332
197.0,175.48371753562543,2.031740367628135,0,0.020833333333333332
198.0,175.3930647993749,2.029297288209963,0,0.020833333333333332
199.0,175.30056188348993,2.026943189263471,0,0.020833333333333332
200.0,175.20603444988953,2.024675566645044,0,0.020833333333333332
201.0,175.10934602952753,2.0224919797879446,0,0.020833333333333332
202.0,175.01039464534125,2.020390050111444,0,0.020833333333333332
203.0,174.90910950643087,2.018367459480883,0,0.020833333333333332
204.0,174.80544781376915,2.0164219487149393,0,0.020833333333333332
205.0,174.69939170764619,2.0145513161369215,0,0.020833333333333332
206.0,174.59094537840633,2.0127534161673655,0,0.020833333333333332
207.0,174.48013235474568,2.0110261579555533,0,0.020833333333333332
208.0,174.36699297779595,2.0093675040479146,0,0.020833333333333332
209.0,174.2515820642992,2.007775469091499,0,0.020833333333333332
210.0,174.13396675824671,2.0062481185709413,0,0.020833333333333332
211.0,174.01422456729355,2.0047835675774954,0,0.020833333333333332
212.0,173.8924415779101,2.0033799796088885,0,0.020833333333333332
213.0,173.76871084130755,2.0020355653988617,0,0.020833333333333332
214.0,173.64313092175678,2.000748581775341,0,0.020833333333333332
215.0,173.51580459721413,1.9995173305462821,0,0.020833333333333332
216.0,173.3868377015122,1.9983401574124118,0,0.020833333333333332
217.0,173.25633809912875,1.9972154509059254,0,0.020833333333333332
218.0,173.1244147814153,1.996141641354469,0,0.020833333333333332
219.0,172.99117707420146,1.9951171998697104,0,0.020833333333333332
220.0,172.85673394784078,1.9941406373597614,0,0.020833333333333332
221.0,172.7211934197232,1.99321050356491,0,0.020833333333333332
222.0,172.58466204109826,1.9923253861159789,0,0.020833333333333332
223.0,172.44724445970158,1.9914839096148023,0,0.020833333333333332
224.0,172.30904305072542,1.9906847347362318,0,0.020833333333333332
225.0,172.17015760898514,1.9899265573511609,0,0.020833333333333332
226.0,172.03068509578608,1.9892081076700552,0,0.020833333333333332
227.0,171.89071943447544,1.9885281494065,0,0.020833333333333332
228.0,171.75035134922163,1.9878854789602853,0,0.020833333333333332
229.0,171.60966824198786,1.9872789246195735,0,0.020833333333333332
230.0,171.46875410317952,1.9867073457817006,0,0.020833333333333332
231.0,171.32768945184054,1.9861696321921771,0,0.020833333333333332
232.0,171.18655130168398,1.9856647032014716,0,0.020833333333333332
233.0,171.04541314960588,1.9851915070391566,0,0.020833333333333332
234.0,170.9043449836735,1.9847490201050304,0,0.020833333333333332
235.0,170.76341330788858,1.9843362462768122,0,0.020833333333333332
236.0,170.62268118131163,1.9839522162340415,0,0.020833333333333332
237.0,170.4822082693938,1.9835959867978008,0,0.020833333333333332
238.0,170.34205090559664,1.9832666402859143,0,0.020833333333333332
239.0,170.20226216159648,1.9829632838832507,0,0.020833333333333332
240.0,170.06289192456143,1.9826850490268058,0,0.020833333333333332
241.0,169.9239869801654,1.982431090805209,0,0.020833333333333332
242.0,169.78559110015945,1.982200587372344,0,0.020833333333333332
243.0,169.64774513346336,1.9819927393747419,0,0.020833333333333332
244.0,169.5104870998667,1.9818067693924526,0,0.020833333333333332
245.0,169.37385228554277,1.9816419213930736,0,0.020833333333333332
246.0,169.23787333968036,1.9814974601986435,0,0.020833333333333332
247.0,169.10258037162993,1.981372670965104,0,0.020833333333333332
248.0,168.968001048041,1.9812668586740443,0,0.020833333333333332
249.0,168.83416068954102,1.9811793476364519,0,0.020833333333333332
250.0,168.70108236656958,1.9811094810081906,0,0.020833333333333332
251.0,168.56878699403916,1.9810566203169389,0,0.020833333333333332
252.0,168.43729342454503,1.9810201450003315,0,0.020833333333333332
253.0,168.30661853989002,1.9809994519550476,0,0.020833333333333332
254.0,168.17677734073257,1.9809939550965867,0,0.020833333333333332
255.0,168.04778303419818,1.9810030849295024,0,0.020833333333333332
256.0,167.91964711932786,1.9810262881278426,0,0.020833333333333332
257.0,167.7923794702628,1.9810630271255707,0,0.020833333333333332
258.0,167.6659884170897,1.981112779716735,0,0.020833333333333332
259.0,167.54048082429097,1.9811750386651625,0,0.020833333333333332
260.0,167.41586216676103,1.981249311323466,0,0.020833333333333332
261.0,167.29213660336956,1.9813351192611373,0,0.020833333333333332
